Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,BFO CLIF specification label,BFO OWL specification label,curator note,definition,definition source,editor note,editor preferred term,elucidation,example of usage,has associated axiom(fol),has associated axiom(nl),has axiom label,http://data.bioontology.org/metadata/prefixIRI,http://purl.obolibrary.org/obo/bfo.owl#accompanies,http://purl.obolibrary.org/obo/bfo.owl#analyzesExam,http://purl.obolibrary.org/obo/bfo.owl#analyzesImage,http://purl.obolibrary.org/obo/bfo.owl#analyzesPatient,http://purl.obolibrary.org/obo/bfo.owl#arrivesAt,http://purl.obolibrary.org/obo/bfo.owl#changesMedication,http://purl.obolibrary.org/obo/bfo.owl#changesPatientClothes,http://purl.obolibrary.org/obo/bfo.owl#changesRecreationalActivities,http://purl.obolibrary.org/obo/bfo.owl#communicatesMedicalDischarge,http://purl.obolibrary.org/obo/bfo.owl#contactsSocialWorker,http://purl.obolibrary.org/obo/bfo.owl#coversHealthNetwork,http://purl.obolibrary.org/obo/bfo.owl#coversRegionalHealthDepartment,http://purl.obolibrary.org/obo/bfo.owl#definesRecreationalActivities,http://purl.obolibrary.org/obo/bfo.owl#definesSystematizationProcess,http://purl.obolibrary.org/obo/bfo.owl#definesTreatment,http://purl.obolibrary.org/obo/bfo.owl#deliversShiftReportToDoctor,http://purl.obolibrary.org/obo/bfo.owl#deliversShiftReportToNurse,http://purl.obolibrary.org/obo/bfo.owl#deliversShiftReportToNursingTechnician,http://purl.obolibrary.org/obo/bfo.owl#diagnoses,http://purl.obolibrary.org/obo/bfo.owl#directsHospital,http://purl.obolibrary.org/obo/bfo.owl#evaluatesHospitalizationRequest,http://purl.obolibrary.org/obo/bfo.owl#evaluatesPatientEvolution,http://purl.obolibrary.org/obo/bfo.owl#evaluatesPsychiatricEvaluation,http://purl.obolibrary.org/obo/bfo.owl#fillsCensusForm,http://purl.obolibrary.org/obo/bfo.owl#fillsEletronicMedicalRecord,http://purl.obolibrary.org/obo/bfo.owl#fillsPatientAdmissionReport,http://purl.obolibrary.org/obo/bfo.owl#forwardPatientToTeam,http://purl.obolibrary.org/obo/bfo.owl#forwardPatientToUnit,http://purl.obolibrary.org/obo/bfo.owl#generatesAttendanceReport,http://purl.obolibrary.org/obo/bfo.owl#generatesBelongingsRelation,http://purl.obolibrary.org/obo/bfo.owl#generatesEvolutionReport,http://purl.obolibrary.org/obo/bfo.owl#generatesHospitalizationRequest,http://purl.obolibrary.org/obo/bfo.owl#generatesMedicalRecord,http://purl.obolibrary.org/obo/bfo.owl#generatesMonitoringReport,http://purl.obolibrary.org/obo/bfo.owl#generatesPatientAdmissionReport,http://purl.obolibrary.org/obo/bfo.owl#generatesPreliminaryReport,http://purl.obolibrary.org/obo/bfo.owl#generatesRecreationalActivitiesReport,http://purl.obolibrary.org/obo/bfo.owl#hasAmbulance,http://purl.obolibrary.org/obo/bfo.owl#hasDiseaseOfMentalHealth,http://purl.obolibrary.org/obo/bfo.owl#hasFinalTreatmentDate,http://purl.obolibrary.org/obo/bfo.owl#hasGender,http://purl.obolibrary.org/obo/bfo.owl#hasHospitalBed,http://purl.obolibrary.org/obo/bfo.owl#hasHospitalizationUnit,http://purl.obolibrary.org/obo/bfo.owl#hasHospitalRoom,http://purl.obolibrary.org/obo/bfo.owl#hasIdentifier,http://purl.obolibrary.org/obo/bfo.owl#hasInformationTechnologySector,http://purl.obolibrary.org/obo/bfo.owl#hasLobby,http://purl.obolibrary.org/obo/bfo.owl#hasMentalFaculties,http://purl.obolibrary.org/obo/bfo.owl#hasOffice,http://purl.obolibrary.org/obo/bfo.owl#hasProfessionalSpeciality,http://purl.obolibrary.org/obo/bfo.owl#hasReception,http://purl.obolibrary.org/obo/bfo.owl#hasStartTreatmentDate,http://purl.obolibrary.org/obo/bfo.owl#hasVitalSigns,http://purl.obolibrary.org/obo/bfo.owl#hasWarehouse,http://purl.obolibrary.org/obo/bfo.owl#hasWorkshop,http://purl.obolibrary.org/obo/bfo.owl#identifies,http://purl.obolibrary.org/obo/bfo.owl#isAssociatedWith,http://purl.obolibrary.org/obo/bfo.owl#makes,http://purl.obolibrary.org/obo/bfo.owl#mayCause,http://purl.obolibrary.org/obo/bfo.owl#mayDie,http://purl.obolibrary.org/obo/bfo.owl#mayHave,http://purl.obolibrary.org/obo/bfo.owl#mayShow,http://purl.obolibrary.org/obo/bfo.owl#meets,http://purl.obolibrary.org/obo/bfo.owl#orients,http://purl.obolibrary.org/obo/bfo.owl#performsAttendence,http://purl.obolibrary.org/obo/bfo.owl#performsClinicalEvaluation,http://purl.obolibrary.org/obo/bfo.owl#performsHospitalization,http://purl.obolibrary.org/obo/bfo.owl#performsInterview,http://purl.obolibrary.org/obo/bfo.owl#performsMeeting,http://purl.obolibrary.org/obo/bfo.owl#performsPatientAdmission,http://purl.obolibrary.org/obo/bfo.owl#prescribes,http://purl.obolibrary.org/obo/bfo.owl#receives,http://purl.obolibrary.org/obo/bfo.owl#releases,http://purl.obolibrary.org/obo/bfo.owl#requestsActiveSearch,http://purl.obolibrary.org/obo/bfo.owl#requestsExam,http://purl.obolibrary.org/obo/bfo.owl#requestsForwarding,http://purl.obolibrary.org/obo/bfo.owl#reserves,http://purl.obolibrary.org/obo/bfo.owl#sendsToManager,http://purl.obolibrary.org/obo/bfo.owl#transferTo,http://purl.obolibrary.org/obo/bfo.owl#treats,http://purl.obolibrary.org/obo/bfo.owl#warnsMedicalDischarge,http://purl.obolibrary.org/obo/bfo.owl#works,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,imported from,term editor
http://purl.obolibrary.org/obo/bfo.owl#Alcoholism,Alcoholism,,,false,,,http://purl.obolibrary.org/obo/BFO_0000016,,,,,,,,,,,,,,Alcoholism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Document,Document,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#InformationObject,,,,,,,,,,,,,,Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#FactitiousDisorder,FactitiousDisorder,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#DiseaseOfMentalHealth,,,,,,,,,,,,,,FactitiousDisorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#DeathFromUnnaturalCauses,DeathFromUnnaturalCauses,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#Death,,,,,,,,,,,,,,DeathFromUnnaturalCauses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#AmphetamineAbuse,AmphetamineAbuse,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#SubstanceAbuse,,,,,,,,,,,,,,AmphetamineAbuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#MultidisciplinaryTeam,MultidisciplinaryTeam,,,false,,,http://purl.obolibrary.org/obo/BFO_0000027,,,,,,,,,,,,,,MultidisciplinaryTeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Gender,Gender,,,false,,,http://purl.obolibrary.org/obo/BFO_0000019,,,,,,,,,,,,,,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#PsychosexualDisorder,PsychosexualDisorder,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#SexualDisorder,,,,,,,,,,,,,,PsychosexualDisorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Clerk,Clerk,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#GeneralServiceProfessional,,,,,,,,,,,,,,Clerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Laboratory,Laboratory,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#Institution,,,,,,,,,,,,,,Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#PatientAdmission,PatientAdmission,,,false,,,http://purl.obolibrary.org/obo/BFO_0000015,,,,,,,,,,,,,,PatientAdmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#ConversionDisorder,ConversionDisorder,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#SomatoformDisorder,,,,,,,,,,,,,,ConversionDisorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#HallucinogenAbuse,HallucinogenAbuse,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#SubstanceAbuse,,,,,,,,,,,,,,HallucinogenAbuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Attendence,Attendence,,,false,,,http://purl.obolibrary.org/obo/BFO_0000015,,,,,,,,,,,,,,Attendence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/bfo.owl#Hospital,Hospital,,,false,,,http://purl.obolibrary.org/obo/bfo.owl#TertiaryCareUnit,,,,,,,,,,,,,,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
